xs1|add r0,r0,0||0090|
xs1|sub r0,r0,0||0098|
xs1|bitrev r0,r0; bitrev r0,r0||c0feec07c0feec07|
xs1|bitrev r0,r0|bitrev r0,r0|c0feec07|c0feec07
xs1|byterev r0,r0; byterev r0,r0||d0feec07d0feec07|
xs1|byterev r0,r0|byterev r0,r0|d0feec07|d0feec07
xs1|neg r0,r0; neg r0,r0||c096c096|
xs1|neg r0,r0|neg r0,r0|c096|c096
xs1|not r0,r0; not r0,r0||c08ec08e|
xs1|not r0,r0|not r0,r0|c08e|c08e
xs1|add r0,r0,r0; sub r0,r0,r0||00100018|
xs1|add r0,r0,r0|sub r0,r0,r0|0010|0018
xs1|sub r0,r0,r0; add r0,r0,r0||00180010|
xs1|sub r0,r0,r0|add r0,r0,r0|0018|0010
xs1|xor r0,r0,r0; xor r0,r0,r0; xor r0,r0,r0; xor r0,r0,r0; xor r0,r0,r0; xor r0,r0,r0||00f8ec0f00f8ec0f00f8ec0f00f8ec0f00f8ec0f00f8ec0f|
xs1|xor r0,r0,r0; xor r0,r0,r0; xor r0,r0,r0; xor r0,r0,r0; xor r0,r0,r0|xor r0,r0,r0|00f8ec0f00f8ec0f00f8ec0f00f8ec0f00f8ec0f|00f8ec0f
xs1|xor r0,r0,r0; xor r0,r0,r0; xor r0,r0,r0; xor r0,r0,r0|xor r0,r0,r0;xor r0,r0,r0|00f8ec0f00f8ec0f00f8ec0f00f8ec0f|00f8ec0f00f8ec0f
xs1|xor r0,r0,r0; xor r0,r0,r0; xor r0,r0,r0|xor r0,r0,r0;xor r0,r0,r0;xor r0,r0,r0|00f8ec0f00f8ec0f00f8ec0f|00f8ec0f00f8ec0f00f8ec0f
xs1|xor r0,r0,r0; xor r0,r0,r0|xor r0,r0,r0;xor r0,r0,r0;xor r0,r0,r0;xor r0,r0,r0|00f8ec0f00f8ec0f|00f8ec0f00f8ec0f00f8ec0f00f8ec0f
xs1|xor r0,r0,r0|xor r0,r0,r0;xor r0,r0,r0;xor r0,r0,r0;xor r0,r0,r0;xor r0,r0,r0|00f8ec0f|00f8ec0f00f8ec0f00f8ec0f00f8ec0f00f8ec0f
xs1|add r0,r0,r1; sub r0,r0,r1||01100118|
xs1|add r0,r0,r1|sub r0,r0,r1|0110|0118
xs1|sub r0,r0,r1; add r0,r0,r1||01180110|
xs1|sub r0,r0,r1|add r0,r0,r1|0118|0110
xs1|xor r0,r0,r1; xor r1,r0,r1; xor r0,r0,r1; xor r0,r0,r1; xor r1,r0,r1; xor r0,r0,r1||01f8ec0f11f8ec0f01f8ec0f01f8ec0f11f8ec0f01f8ec0f|
xs1|xor r0,r0,r1; xor r1,r0,r1; xor r0,r0,r1; xor r0,r0,r1; xor r1,r0,r1|xor r0,r0,r1|01f8ec0f11f8ec0f01f8ec0f01f8ec0f11f8ec0f|01f8ec0f
xs1|xor r0,r0,r1; xor r1,r0,r1; xor r0,r0,r1; xor r0,r0,r1|xor r1,r0,r1;xor r0,r0,r1|01f8ec0f11f8ec0f01f8ec0f01f8ec0f|11f8ec0f01f8ec0f
xs1|xor r0,r0,r1; xor r1,r0,r1; xor r0,r0,r1|xor r0,r0,r1;xor r1,r0,r1;xor r0,r0,r1|01f8ec0f11f8ec0f01f8ec0f|01f8ec0f11f8ec0f01f8ec0f
xs1|xor r0,r0,r1; xor r1,r0,r1|xor r0,r0,r1;xor r0,r0,r1;xor r1,r0,r1;xor r0,r0,r1|01f8ec0f11f8ec0f|01f8ec0f01f8ec0f11f8ec0f01f8ec0f
xs1|xor r0,r0,r1|xor r1,r0,r1;xor r0,r0,r1;xor r0,r0,r1;xor r1,r0,r1;xor r0,r0,r1|01f8ec0f|11f8ec0f01f8ec0f01f8ec0f11f8ec0f01f8ec0f
xs1|add r0,r0,r2; sub r0,r0,r2||02100218|
xs1|add r0,r0,r2|sub r0,r0,r2|0210|0218
xs1|sub r0,r0,r2; add r0,r0,r2||02180210|
xs1|sub r0,r0,r2|add r0,r0,r2|0218|0210
xs1|xor r0,r0,r2; xor r2,r0,r2; xor r0,r0,r2; xor r0,r0,r2; xor r2,r0,r2; xor r0,r0,r2||02f8ec0f22f8ec0f02f8ec0f02f8ec0f22f8ec0f02f8ec0f|
xs1|xor r0,r0,r2; xor r2,r0,r2; xor r0,r0,r2; xor r0,r0,r2; xor r2,r0,r2|xor r0,r0,r2|02f8ec0f22f8ec0f02f8ec0f02f8ec0f22f8ec0f|02f8ec0f
xs1|xor r0,r0,r2; xor r2,r0,r2; xor r0,r0,r2; xor r0,r0,r2|xor r2,r0,r2;xor r0,r0,r2|02f8ec0f22f8ec0f02f8ec0f02f8ec0f|22f8ec0f02f8ec0f
xs1|xor r0,r0,r2; xor r2,r0,r2; xor r0,r0,r2|xor r0,r0,r2;xor r2,r0,r2;xor r0,r0,r2|02f8ec0f22f8ec0f02f8ec0f|02f8ec0f22f8ec0f02f8ec0f
xs1|xor r0,r0,r2; xor r2,r0,r2|xor r0,r0,r2;xor r0,r0,r2;xor r2,r0,r2;xor r0,r0,r2|02f8ec0f22f8ec0f|02f8ec0f02f8ec0f22f8ec0f02f8ec0f
